laptop_names,laptop_prices,laptop_reviews,laptop_links
"Apple 2024 MacBook Pro Laptop with M4 Max chip with 14‑core CPU and 32‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage; Space Black","3,09,990",4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4NTE1ODMyMjY2MDQ0OjE3NDUzNDg4OTg6c3BfYXRmOjMwMDM5Mjk2MzMyNzgzMjo6MDo6&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-32%25E2%2580%2591core%2Fdp%2FB0DLHGCB3C%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1745348898%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Silver","88,990",3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4NTE1ODMyMjY2MDQ0OjE3NDUzNDg4OTg6c3BfYXRmOjMwMDM5Mjk2MzMyNzUzMjo6MDo6&url=%2F2022-Apple-MacBook-Laptop-chip%2Fdp%2FB0DLHWMPQL%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1745348898%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ACER One 14 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) Z2-493 Thin and Light Laptop (14 inch HD Display, Silver, 1.5 Kg) 2 Years Brand Warranty","22,990",4,https://www.amazon.in/ACER-Ryzen-Dual-Core-3250U/dp/B0F3354GDC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-3
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","34,990",25,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-4
"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), FY5008TU Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, Backlit KB, HD Camera, fq5329tu","43,990",601,https://www.amazon.in/HP-i5-1235U-FY5008TU-Anti-Glare-15-6-inch/dp/B0CJM5Z6FY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-5
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","49,990",508,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN/dp/B0DP7BZ8FD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-6
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu","34,990",718,https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-7
"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","28,990","1,165",https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-8
"HP 15, AMD Ryzen 3 7320U, 8GB LPDDR5, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch (39.6 cm), FHD, AMD Radeon Graphics, 1080p HD Camera, (Win 11, Silver, 1.59 kg), fc0154AU","30,990","1,523",https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_9?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-9
"HP 255 Notebook, AMD Athlon Silver 7120U,8GB DDR4, 256GB SSD, 15.6-inch(39.6cm),Anti-Glare, HD Laptop, Radeon Graphics, (Win 11, Silver,1.52kg) G10","22,950",0,https://www.amazon.in/HP-Notebook-15-6-inch-Anti-Glare-Graphics/dp/B0DV984J97/ref=sr_1_10?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-10
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight","91,900",21,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4NTE1ODMyMjY2MDQ0OjE3NDUzNDg4OTg6c3BfbXRmOjMwMDQ5OTQ1MzM0NzgzMjo6MDo6&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDDV7GC%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1745348898%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver","1,64,900",4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4NTE1ODMyMjY2MDQ0OjE3NDUzNDg4OTg6c3BfbXRmOjMwMDQ5OTQ1MzM0ODYzMjo6MDo6&url=%2FApple-MacBook-15-inch-10-core-Unified%2Fdp%2FB0DZDQR47H%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1745348898%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","26,990","1,165",https://www.amazon.in/Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_13?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-13
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 8GB RAM, 512GB SSD, FHD, 14""/35.56cm, Windows 11, Office 2021, Black, 1.38KG, E1404FA-NK325WS, 42WHr, Thin and Light Laptop","29,990",109,https://www.amazon.in/ASUS-Vivobook-Laptop-Office-E1404FA-NK325WS/dp/B0CCPC5DTD/ref=sr_1_14?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-14
"HP Victus, AMD Ryzen 5 8645HS, 6GB RTX 3050 AI Gaming Laptop, 31 Tops (Upgradable 16GB DDR5, 512GB SSD), 144Hz, IPS, 300 nits, 15.6""/39.6cm, FHD, Win11,Office24,Microsoft365*, Blue, 2.29kg, fb3009AX","69,990",2,https://www.amazon.in/HP-Upgradable-Office24-Microsoft365-fb3009AX/dp/B0DTYX4VMP/ref=sr_1_15?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-15
"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Arctic Grey/1.63 Kg), 83CQ000XIN","25,990",2,https://www.amazon.in/Lenovo-39-62cm-Antiglare-Windows-83CQ000XIN/dp/B0DVGQPW13/ref=sr_1_16?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-16
"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W","64,300",510,https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_17?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-17
"4G, 2025(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/64GB eMMC Storage, Black)","12,990",437,https://www.amazon.in/Primebook-Android-Based-MediaTek-MT8788/dp/B0D1Y3MVGL/ref=sr_1_18?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-18
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue","12,990",351,https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_19?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-19
"Dᥱll Latitude E7470 Laptop 6th Gen Intᥱl Core i5 Thin & Light (256 GB SSD|8 GB DDR4 RAM|14"" (35.6 cm) HD|Win 10|MS Office|WiFi|BT|Intᥱl HD Graphics) (Rᥱfurbishᥱd) Black","15,490",0,https://www.amazon.in/Latitude-Laptop-Office-Graphics-R%E1%A5%B1furbish%E1%A5%B1d/dp/B0F4XBTLH6/ref=sr_1_20?dib=eyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA&dib_tag=se&keywords=laptop&qid=1745348898&sr=8-20
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Space Gray","88,990",6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4NTE1ODMyMjY2MDQ0OjE3NDUzNDg4OTg6c3BfYnRmOjMwMDM5Mjk2MzMyNzAzMjo6MDo6&url=%2F2022-Apple-MacBook-Laptop-chip%2Fdp%2FB0DLHGQ17K%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1745348898%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 8‑core GPU, 16GB Unified Memory, 256GB) - Midnight","98,990",9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4NTE1ODMyMjY2MDQ0OjE3NDUzNDg4OTg6c3BfYnRmOjMwMDM5Mjk2MzMzMDAzMjo6MDo6&url=%2FApple-MacBook-13-inch-8%25E2%2580%2591core-Unified%2Fdp%2FB0DLHYCZMV%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.HDw86R7tqNWrotnyz1J7S23tMfd2e1tqrZRgcX7QipccVia95OqoSDOuxQCdnBQTgHiGAg5HUM6-596UODQ3NSPXxBQMKwfwscL2JRCbkFN-uUT8qzlPU7P7kCixI_aF4P3BDOlfy2KlJErtvFndfmBkJcHOGqxGGefr4NcADp4QbtdeKStcWU25o5MfCH2EZCMkliwLCvNul2YzT_IuuGOpDCBIcmLXFl1oIXP15iM.Okq9B2nVBlOi-cxG7WQrLaOD7ttKjDOFv13NVRmgnSA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1745348898%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
